x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
2.4,0,0.045520232,0.00529305,0,0.000126044,0,0.045520232,0.00529305,0,0.000126044,0
2.5,0,0.035451192,0.004122232,0,7.72E-05,0,0.035451192,0.004122232,0,7.72E-05,0
2.6,0,0.02732912,0.003177805,0,4.64E-05,0,0.02732912,0.003177805,0,4.64E-05,0
2.7,0,0.020853976,0.002424881,0,2.73E-05,0,0.020853976,0.002424881,0,2.73E-05,0
2.8,0,0.015751449,0.001831564,0,1.57E-05,0,0.015751449,0.001831564,0,1.57E-05,0
2.9,0,0.011776618,0.001369374,0,8.91E-06,0,0.011776618,0.001369374,0,8.91E-06,0
3,0,0.008715436,0.001013423,0,4.94E-06,0,0.008715436,0.001013423,0,4.94E-06,0
-3,6,0.008715436,0.001013423,0,4.94E-06,0,0.00645603,0.001013342,1.09E-07,2.89E-06,4.90E-06
-2.9,6,0.011776618,0.001369374,0,8.91E-06,0,0.008723579,0.001369258,2.10E-07,3.74E-06,6.94E-06
-2.8,6,0.015751449,0.001831564,0,1.57E-05,0,0.011667797,0.001831387,4.89E-07,6.33E-06,1.20E-05
-2.7,6,0.020853976,0.002424881,0,2.73E-05,0,0.015447105,0.002424596,1.13E-06,1.12E-05,2.09E-05
-2.6,6,0.02732912,0.003177805,0,4.64E-05,0,0.020242631,0.003177319,2.53E-06,1.95E-05,3.57E-05
-2.5,6,0.035451192,0.004122232,0,7.72E-05,0,0.026256951,0.004121364,5.52E-06,3.38E-05,5.99E-05
-2.4,6,0.045520232,0.00529305,0,0.000126044,0,0.03371109,0.005291442,1.17E-05,5.81E-05,9.89E-05
-2.3,6,0.057855747,0.006727412,0,0.00020167,0,0.042839354,0.006724366,2.43E-05,9.89E-05,0.000160586
-2.2,6,0.072787529,0.008463666,0,0.000316282,0,0.05388159,0.008457853,4.91E-05,0.000166865,0.000256763
-2.1,6,0.090643333,0.010539922,0,0.000486207,0,0.06707248,0.010528865,9.67E-05,0.000279224,0.000404283
