"x","SVEIR_Synth_Data","Out_SVEIR_t0","Out_SVEIR_t6","Out_SVEIR_t12","Out_SVEIR_t18","Out_SVEIR_t24","Out_SVEIR_t30","Out_SVEIR_t36","Out_SVEIR_t42","Out_SVEIR_t48","Out_SVEIR_t54","Out_SVEIR_t60"
-1.6,0.232946762484599,0.232946762484599,0.171028831959519,0.124378328079836,0.0881059804201606,0.0593228133115814,0.0368444532336773,0.0206481366058256,0.0104375525322815,0.00485083532785814,0.00212523665499295,0.000896628230480528
-1.5,0.272863918963346,0.272863918963346,0.199515788989643,0.143236571633363,0.0976531877102719,0.060073426501783,0.0316048422966105,0.0139696825561253,0.00535116444648943,0.0018671485918084,0.000617956476248094,0.00019898412724124
-1.4,0.31637631940744,0.31637631940744,0.230015064884198,0.161721837316718,0.103138721789632,0.0541911308472381,0.0218278237501595,0.00690078868391355,0.00186636316444438,0.000465644055649149,0.000111909160749175,2.64715730839505e-05
-1.3,0.363103345207809,0.363103345207809,0.261940163568853,0.178223602888435,0.101761141282024,0.0416332691829559,0.0115653532240882,0.00243733886822548,0.000446746637123236,7.72027764944067e-05,1.30351927051269e-05,2.17787759328832e-06
-1.2,0.412500951193838,0.412500951193838,0.294502827842917,0.190643418364216,0.0916576970628932,0.0263264952767106,0.00466579215106677,0.000632249728497018,7.67473646309072e-05,8.97190165876384e-06,1.0350640608203e-06,1.16631085839022e-07
-1.1,0.463861237539128,0.463861237539128,0.326733152264461,0.196705051840019,0.0738526990350485,0.0136069499872171,0.00147902704333214,0.000127003189180478,1.00930235852679e-05,7.92556588981429e-07,6.19322530319849e-08,4.3664256867685e-09
-1,0.516320815430628,0.516320815430628,0.357538063224532,0.194620303114401,0.052732991780041,0.0058845760845939,0.000388278189063551,2.10934811786104e-05,1.10989822568757e-06,6.1357916569185e-08,3.4172673676589e-09,1.22541127995204e-10
-0.9,0.568878616229437,0.568878616229437,0.38580405719164,0.183939971531054,0.0336098584691392,0.00222449976525944,8.96379959246153e-05,3.13211845850885e-06,1.15175484468275e-07,5.49055411622397e-09,1.7559049233081e-10,-6.68973916544102e-13
-0.8,0.62042316970509,0.62042316970509,0.410537356320212,0.166084293343532,0.0195763343341517,0.000774295871255746,1.93754128020559e-05,4.56036369250044e-07,1.45147747124403e-08,6.9125894632844e-11,6.74690303123431e-11,2.78824320678866e-14
-0.7,0.669768673441408,0.669768673441408,0.431016770522972,0.144042705134234,0.0107835006629898,0.000261773526671483,4.18288699853415e-06,7.07404874662391e-08,5.13208917872222e-09,1.22662334000098e-09,1.47822402824542e-09,-1.56627724251115e-10
-0.6,0.715698450593659,0.715698450593659,0.446919190812862,0.121301086827069,0.00583847848897048,9.05322460734355e-05,9.63243710634119e-07,1.13644542277395e-08,4.41720461331808e-09,6.0646208445612e-09,3.59273623984985e-09,-8.22184101967664e-10
-0.5,0.757013713483482,0.757013713483482,0.45837533979419,0.100688589388482,0.00322785255625797,3.36310951617681e-05,2.52389532417581e-07,-5.07557206462393e-11,6.23163874722637e-09,9.01254586239082e-09,6.09243989158816e-09,-2.35743468797271e-09
-0.4,0.792584984676043,0.792584984676043,0.465930191929361,0.0838110035011469,0.00188705005591775,1.40282737950396e-05,7.98261620854569e-08,-4.62846110689733e-09,1.29749882075006e-08,1.55487442898129e-08,1.41346289634548e-08,-8.1458798447006e-09
-0.3,0.821403138064612,0.821403138064612,0.470412978379265,0.0711618498259831,0.00120236432893039,6.826332803335e-06,3.19343307041587e-08,-8.76946471159596e-09,2.42674603615879e-08,5.0054239491198e-08,3.11509450436604e-08,-2.45017843757256e-08
-0.2,0.842626859514186,0.842626859514186,0.472750718803312,0.0625696002612435,0.00085568961875198,3.99473704272023e-06,1.65592333369648e-08,-1.26235099109837e-08,3.54139355137372e-08,1.2279170239173e-07,4.84788296721495e-08,-4.59555482192055e-08
-0.0999999999999996,0.855623419138882,0.855623419138882,0.473772478185466,0.0576379953662306,0.00069258304228325,2.87240047078728e-06,1.11643460110684e-08,-1.52742265053134e-08,4.2182824709212e-08,2.00067972379733e-07,5.64198108090012e-08,-5.75153045101924e-08
0,0.86,0.86,0.474045991260272,0.0560354838591706,0.000644638330255969,2.56983675102101e-06,9.78373774085593e-09,-1.61918935542516e-08,4.41932528172928e-08,2.32807553803508e-07,5.75810570082504e-08,-5.93142354380876e-08
0.1,0.855623419138882,0.855623419138882,0.473772478185466,0.0576379953662306,0.00069258304228325,2.87240047078729e-06,1.11643460110689e-08,-1.52742265053135e-08,4.21828247092149e-08,2.00067972379718e-07,5.64198108090064e-08,-5.75153045101981e-08
0.2,0.842626859514186,0.842626859514186,0.472750718803312,0.0625696002612436,0.00085568961875198,3.99473704272024e-06,1.65592333369652e-08,-1.26235099109875e-08,3.54139355137489e-08,1.22791702391759e-07,4.84788296721655e-08,-4.59555482192207e-08
0.3,0.821403138064612,0.821403138064612,0.470412978379265,0.0711618498259832,0.00120236432893039,6.82633280333502e-06,3.19343307041586e-08,-8.76946471159127e-09,2.42674603615747e-08,5.00542394911789e-08,3.11509450436439e-08,-2.45017843757127e-08
